id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,review_bin,high_demand,group,price_original,discount_pct,predicted_high_demand_prob,revenue_proxy
8254640,123713,Brooklyn,Bedford-Stuyvesant,40.68178,-73.94179,Entire home/apt,200.0,2,1,1,0,Low,0,control,200,0.0,0.29885286251100396,59.77057250220079
30538753,854567,Brooklyn,Bedford-Stuyvesant,40.69202,-73.95456,Private room,1282.5,21,0,2,365,,0,5%_reduction,1350,0.05,0.2580740410665253,330.9799576678187
35350827,16107580,Manhattan,Hell's Kitchen,40.7616,-73.98936,Entire home/apt,630.0,4,2,1,130,Low,0,10%_reduction,700,0.1,0.34792082190091383,219.1901177975757
15299748,64065593,Manhattan,Midtown,40.7531,-73.97321,Private room,214.2,2,3,13,324,Low,0,15%_reduction,252,0.15,0.5406533103307222,115.80793907284068
35125528,264568970,Manhattan,Midtown,40.76449,-73.98445,Entire home/apt,400.0,2,0,1,47,,0,control,400,0.0,0.420672894603754,168.2691578415016
36117552,1196848,Manhattan,West Village,40.73564,-74.00997,Entire home/apt,217.54999999999998,2,0,1,10,,0,5%_reduction,229,0.05,0.5051339300255339,109.89188647705488
35671998,261295185,Queens,Jamaica Estates,40.71213,-73.78778,Entire home/apt,197.1,2,0,1,359,,0,10%_reduction,219,0.1,0.5354433207129441,105.53587851252128
26594677,46555645,Manhattan,Midtown,40.75357,-73.97313,Private room,153.85,3,1,1,0,Low,0,15%_reduction,181,0.15,0.3061272628870163,47.097679395167454
8736827,45837698,Brooklyn,Sheepshead Bay,40.58599,-73.92762,Entire home/apt,2000.0,1,1,1,365,Low,0,control,2000,0.0,0.2385231279296091,477.0462558592182
27782804,20951849,Brooklyn,Bedford-Stuyvesant,40.69138,-73.93217,Entire home/apt,332.5,1,5,2,5,Low,0,5%_reduction,350,0.05,0.43261344970517457,143.84397202697053
28734328,216738447,Brooklyn,Bedford-Stuyvesant,40.68528,-73.95217,Entire home/apt,171.0,2,3,1,88,Low,0,10%_reduction,190,0.1,0.6016226888558529,102.87747979435085
21787094,415290,Manhattan,Upper East Side,40.76436,-73.96836,Entire home/apt,276.25,1,0,1,0,,0,15%_reduction,325,0.15,0.1763077928753859,48.70502778182535
33094364,28770493,Manhattan,West Village,40.73508,-74.00004,Entire home/apt,204.0,4,3,1,6,Low,0,control,204,0.0,0.4774750638219723,97.40491301968235
31950082,6902218,Brooklyn,Red Hook,40.67697,-74.00993,Entire home/apt,237.5,3,0,1,1,,0,5%_reduction,250,0.05,0.48528390641246794,115.25492777296114
11547077,8200984,Brooklyn,Park Slope,40.67764,-73.97835,Entire home/apt,180.0,3,4,1,0,Low,0,10%_reduction,200,0.1,0.3098171343075356,55.76708417535641
4033998,11818785,Queens,Jackson Heights,40.7525,-73.88592,Private room,170.0,30,0,1,88,,0,15%_reduction,200,0.15,0.3336319245410644,56.717427171980944
1523556,7304881,Brooklyn,Williamsburg,40.71041,-73.93847,Private room,178.0,2,2,1,0,Low,0,control,178,0.0,0.3279071355398877,58.36747012610001
34545971,20952448,Brooklyn,Greenpoint,40.73219,-73.95563,Entire home/apt,261.25,2,4,1,27,Low,0,5%_reduction,275,0.05,0.5011255804895005,130.919057902882
34911014,105626720,Manhattan,Hell's Kitchen,40.76359,-73.98608,Entire home/apt,180.0,31,0,5,354,,0,10%_reduction,200,0.1,0.32022401001222384,57.64032180220029
26097566,41099363,Brooklyn,Fort Greene,40.68792,-73.97671,Private room,195.5,4,2,3,114,Low,0,15%_reduction,230,0.15,0.591796630169308,115.6962411980997
